,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/6/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013,2/22/2013,3/1/2013,3/8/2013,3/15/2013,3/22/2013,3/29/2013,4/5/2013,4/12/2013,4/19/2013,4/26/2013,5/3/2013,5/10/2013,5/17/2013,5/24/2013,5/31/2013,6/7/2013,6/14/2013,6/21/2013,6/28/2013,7/5/2013,7/12/2013,7/19/2013,7/26/2013,8/2/2013,8/9/2013,8/16/2013,8/23/2013,8/30/2013,9/6/2013,9/13/2013,9/20/2013,9/27/2013,10/4/2013,10/11/2013,10/18/2013,10/25/2013,11/1/2013,11/8/2013,11/15/2013,11/22/2013,11/29/2013,12/6/2013,12/13/2013,12/20/2013,12/27/2013,1/3/2014,1/10/2014,1/17/2014,1/24/2014,1/31/2014,2/7/2014,2/14/2014,2/21/2014,2/28/2014,3/7/2014,3/14/2014,3/21/2014,3/28/2014,4/4/2014,4/11/2014,4/18/2014,4/25/2014,5/2/2014,5/9/2014,5/16/2014,5/23/2014,5/30/2014,6/6/2014,6/13/2014,6/20/2014,6/27/2014,7/4/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,8/15/2014,8/22/2014,8/29/2014,9/5/2014,9/12/2014,9/19/2014,9/26/2014,10/3/2014,10/10/2014,10/17/2014,10/24/2014,10/31/2014,11/7/2014,11/14/2014,11/21/2014,11/28/2014,12/5/2014,12/12/2014,12/19/2014,12/26/2014,1/2/2015,1/9/2015,1/16/2015,1/23/2015,1/30/2015,2/6/2015,2/13/2015,2/20/2015,2/27/2015,3/6/2015,3/13/2015,3/20/2015,3/27/2015,4/3/2015,4/10/2015,4/17/2015,4/24/2015,5/1/2015,5/8/2015,5/15/2015,5/22/2015,5/29/2015,6/5/2015,6/12/2015,6/19/2015,6/26/2015,7/3/2015,7/10/2015,7/17/2015,7/24/2015,7/31/2015,8/7/2015,8/14/2015,8/21/2015,8/28/2015,9/4/2015,9/11/2015,9/18/2015,9/25/2015,10/2/2015,10/9/2015,10/16/2015,10/23/2015,10/30/2015,11/6/2015,11/13/2015,11/20/2015,11/27/2015,12/4/2015,12/11/2015,12/18/2015,12/25/2015,1/1/2016,1/8/2016,1/15/2016,1/22/2016,1/29/2016,2/5/2016,2/12/2016,2/19/2016,2/26/2016,3/4/2016,3/11/2016,3/18/2016,3/25/2016,4/1/2016,4/8/2016,4/15/2016,4/22/2016,4/29/2016
XLRN    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1949,12.9581,-14.5616,3.0741,0.2193,-7.046,-12.9002,6.5405,6.9001,3.3223,19.3845,12.3124,2.7749,17.5,10.6667,20.8664,4.2206,-0.2239,-5.466,-6.2136,-3.9568,13.7485,-1.1792,9.5887,-12.0163,-13.7901,-12.1251,4.9008,1.6129,5.1177,-15.3866,3.6923,-5.4303,0.3452,-4.1276,-3.1963,3.504,10.2865,2.6269,-0.8628,-3.4523,-8.9543,-11.7162,5.1589,4.4081,1.8727,-0.3676,-7.7491,-2.2909,-6.3268,2.3441,-6.0171,18.7113,8.142,-4.9228,-1.8951,18.1097,8.0023,-18.3613,10.9639,3.9701,11.226,-3.0459,11.2087,-6.5119,3.7132,-5.5309,7.5274,1.4098,-5.9444,0.5861,-6.0552,2.5351,5.1552,1.6258,-0.1969,1.603,1.5049,-10.2104,-7.9095,-1.0121,-1.3731,-1.3922,-13.6678,8.7335,1.888,3.392,2.4605,-3.7355,-2.6794,-1.4873,2.7947,-6.9063,0.8056,9.1242,-9.0021,-3.9571,-1.7458,11.1585,-9.335,4.7602,-2.659,16.2517,6.7222,-23.8852,-9.6668,-2.3916,1.3289,7.2541,19.2587,26.53,-10.1925,10.1931,9.1863,0.539,-1.9814,5.8264,9.5506,0.0205,-29.3888,-2.1493,7.7768,-15.4503,-13.3876,-4.4378,7.0445,-6.9118,12.4408,-5.62,-5.8057,-4.3461,12.9285,14.338,-0.096,3.106,-6.9876
EPZM    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0926,-14.1154,17.7788,6.9582,8.0341,22.0138,4.5038,-15.2516,9.592,-2.4451,-10.7377,-7.1793,-4.6064,7.6396,9.374,9.6725,10.2707,-0.5821,-8.7322,1.9247,6.8144,-7.3533,-6.3053,-43.9197,10.3158,-0.0954,9.8854,-8.3877,-0.4269,-0.8576,-1.1533,96.4511,-6.9785,-7.0497,-12.9937,-6.3816,7.5193,-1.732,-0.5653,-9.6321,5.9956,-6.8436,-14.0555,-11.5133,5.7171,-7.1795,4.3697,3.2724,1.0252,4.9354,1.2308,4.1251,-2.8357,14.0343,7.0568,3.3574,16.4626,-9.4188,-7.1095,15.0295,-10.5613,12.2132,10.3127,-8.4764,2.7099,-17.6573,1.4437,-8.2263,3.4039,4.4989,-11.6556,7.4089,9.5537,-10.6734,-10.4787,-3.2842,-2.0897,1.6452,-2.9309,-17.3051,8.8828,-8.0581,7.8933,-11.8063,5.5492,8.9431,-4.7761,-2.9258,16.1464,5.468,3.3392,-2.2109,0.087,-13.51,-5.8764,-5.3895,3.6097,-1.0887,11.2273,-20.8808,12.5704,-3.1667,9.5812,-0.6806,2.1086,-0.413,7.5687,8.1928,1.1581,3.1264,4.3126,-11.2976,2.9534,-13.7606,-9.8753,-8.1315,26.177,-3.1343,6.3174,-1.3043,-12.4327,-20.3466,-4.1404,-5.4173,-2.709,4.1368,28.877,-6.639,-3.3651,6.8331,-14.0221,3.6481,14.5618,1.4458,-4.8694,-33.1461,-7.2829,4.7331,-12.5962,2.8603,2.0321,-0.5241,-2.9505,4.2345,7.3958,6.3046,-2.1898,10.9142,4.2893,3.871,-2.2516,-17.2359
XNCR    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0515,1.6393,5.9908,-0.5435,5.0273,1.0406,-12.5644,3.5336,4.0956,-2.8415,24.297,1.7195,11.21,11.2,-10.2878,-15.397,3.3175,-12.0183,7.8206,-0.3868,-9.7087,-10.2151,-3.3533,-0.3717,9.4527,15.6818,11.8861,-1.5803,0.446,-3.1972,-2.2018,-10.5066,-0.4193,3.4737,0.7121,-1.0101,4.5918,4.2927,-1.8709,0.858,-8.4121,-1.2384,2.0899,1.3306,2.7273,3.2448,2.7619,-0.6487,4.3843,-5.3619,5.8546,-4.0143,9.4796,41.0866,0.3008,-2.5195,6.2154,-0.6373,1.516,-12.981,-0.7921,2.9275,-2.6503,3.5857,-1.7308,-5.1533,9.9725,-4.9406,-3.0263,7.1235,-5.8265,-0.9415,-0.8147,-0.1369,5.0034,11.4883,6.2061,4.796,1.9463,10.9391,-2.2791,5.664,1.8018,8.3628,-4.41,-4.3571,-6.8334,-10.2109,-5.3924,-3.2167,-1.2828,-3.1896,14.0329,-20.8133,-9.3919,-8.4265,-2.1987,-0.1665,-9.6747,24.6537,-3.9259,7.8643,16.1544,-10.2154,-7.0596,11.0619,-0.996,-1.945,-15.6635,1.0543,-1.7657,-11.6013,-1.0166,5.5089,0.354,-1.7637,3.5907,8.3189,-4.16,3.7563,12.148,3.8737,0.6215,-3.2258,-13.1206
MNTA    US Equity,6.4405,4.0519,-1.8172,-19.6721,8.9533,-7.7644,-0.6878,3.628,-7.0656,3.2192,3.4506,0.0641,-1.7949,4.6997,-10.4738,10.2368,1.7056,-13.913,2.886,-3.0154,-0.3615,0.2177,6.7343,5.4953,9.3891,-20.8113,3.5635,2.8674,-5.1568,8.6701,-6.8966,-0.2179,0.655,0.7231,1.2922,3.4727,2.4658,-1.8048,-0.8169,-0.755,0.899,-4.0439,-6.1429,-3.0441,-7.0644,-9.1216,-1.487,0.9434,0,6.2617,2.1988,-2.0654,8.5237,0.1619,0.485,2.0917,-0.1576,-2.2889,-0.4039,2.2709,3.0135,9.0069,0,-5.0847,-0.744,-3.2984,4.1085,-2.9039,-1.4571,-12.1401,13.1975,1.9562,2.7629,-1.7177,7.9027,-1.2676,0.428,6.9602,-1.3944,0.3367,4.3624,11.5113,-7.4394,-0.7477,-5.6497,-0.4657,-5.8155,7.4521,2.7081,-0.2572,-7.4146,5.5014,3.4983,4.7194,0.0609,-0.7912,5.2147,-0.2332,3.9158,0.0562,-1.5177,-1.5411,0.8696,2.7586,4.698,5.3419,-1.3185,-2.1583,-5.9874,-8.0447,8.4447,-0.8403,-16.3842,1.4189,2.1985,-5.6389,-3.2124,-19.7002,-7.5556,6.7308,-1.3514,1.7352,-4.0395,11.7867,1.4226,2.2277,8.5553,-2.3792,-6.3214,-3.4146,1.7677,-2.9777,-6.1381,-1.9074,-0.8333,3.268,6.0579,-3.3248,3.9683,-1.3571,-0.4299,-0.5181,-1.9097,6.3717,-16.0566,12.4876,-2.9075,-0.9982,0.6416,-3.1876,8.2785,1.9114,9.2072,-5.0742,-3.6184,1.3652,1.5993,2.6512,1.2107,-15.2313,1.317,0.2786,8.3333,11.1966,4.9193,6.7399,2.1963,3.8281,-2.5226,1.4599,6.5402,7.8576,14.5703,-9.687,9.1859,2.2166,-2.0207,-0.1509,11.2343,0,7.6993,-0.7149,-9.9111,2.3037,8.1801,-6.5421,-1.1818,1.5639,-1.8569,-7.9834,2.1565,-9.7202,3.2626,-2.7909,-8.6674,-0.1779,-1.7231,-0.0605,0.5445,-1.2635,8.2267,1.9707,-2.2639,1.5254,-5.5092,-8.1272,5.3205,-6.8168,-3.0699,-2.4259,-10.221,4.2308,-8.3395,-5.2335,-11.215,-8.134,-3.5417,-8.6393,1.182,0.8178,-1.3905,10.1058,0.7471,1.3771,2.6123,-3.1568
LOXO    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6154,-0.2676,-0.2683,19.6003,-17.8021,-14.8554,11.2029,7.5145,-14.9002,1.9856,-0.4425,-4.0889,11.2141,-4.5833,-8.9956,-1.1516,4.8544,3.0556,22.8212,-2.4872,-10.9527,-0.5897,-6.7797,-4.6364,21.9256,-5.3948,-1.5702,14.6935,-6.0029,7.3988,-0.8702,0.951,-10.3986,-4.7311,7.8098,1.9685,5.0193,-16.5441,4.7577,-7.4853,10.4545,1.5638,13.6143,13.8374,24.6867,-6.2814,-8.2038,-4.4977,11.1927,-13.2013,28.327,1.3333,-3.3626,-11.9516,17.4685,1.5602,8.7374,-3.7969,-2.7077,-11.8396,13.2691,14.3599,3.6349,-6.8155,-0.556,21.0753,9.8046,10.3203,-11.5836,-4.1459,10.519,2.0038,-12.6765,-16.3796,-13.1148,-3.4349,3.507,-6.8248,-6.7013,6.6815,-1.4614,6.6737,1.5889,4.6432,15.3199,13.3455,-9.7016,2.5722,-1.6204,-9.6078
AIMT    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2609,-19.0019,0.0474,7.0109,10.7127,-2.8788,0.6999,-13.4914,-10.397,-14.1878,-6.8838,-0.6601,23.7209,-5.1557,18.5164,1.9589,-12.418,6.4205,-5.3796,5.6323,-7.1932,-9.6477,-16.6767,11.0151,-11.284,14.0351,2.8205,7.606,-1.9119,4.5481,-7.0056,-10.9964,-8.5324,4.0299,0.0717,-3.6559,4.7619,-8.0256
IPXL    US Equity,0.1487,-0.1485,-0.8428,-4.75,17.1129,-1.7033,5.4264,1.6003,-1.9583,1.6066,-0.2564,2.1851,3.0608,-0.0407,-3.9479,4.8305,2.304,-11.2604,-2.0481,-4.6818,1.2399,-4.9458,5.4014,1.4104,5.9342,-11.291,-0.0987,-2.0741,-0.6051,5.378,11.6033,3.667,0.541,-1.1589,-0.8794,3.0418,-1.394,8.7734,-0.7645,2.7735,-1.2369,-5.1992,-2.562,-16.3517,-0.6876,-1.3461,2.9687,-0.9737,2.9007,-3.3445,0.4943,-1.574,6.097,0.8008,-1.7757,-4.1389,1.8859,-1.6074,-0.198,-3.125,2.4066,-16.8,-5.2284,-0.9512,-1.1524,5.3756,1.1678,1.6403,5.3198,-3.5187,2.3529,5.8621,2.063,0.883,-0.348,-0.2646,-4.0318,10.2156,2.1166,-0.5894,1.8281,1.6012,0.1433,3.6719,-5.0138,1.4528,-2.7208,3.2385,-1.9011,-1.2597,-0.3435,2.5603,-5.9289,4.7206,-0.2437,2.0518,7.7549,3.5096,0.8155,2.3414,-1.4975,-3.2517,9.21,0.0799,0.5591,-2.4226,0.2035,-2.5589,-3.5431,-2.0311,-0.2647,13.9761,0,6.5192,1.3115,-4.9622,-6.2807,-4.7235,4.0254,-2.5662,11.1622,1.5419,-1.7778,-1.3198,6.5724,-0.4661,3.5303,-0.2784,4.6755,0.8333,1.4215,-5.3781,-0.5167,-3.4972,-15.2135,-0.6348,1.7462,2.2604,0.8596,-0.1623,-1.8699,1.6156,-0.7746,0.1643,11.7309,-1.9457,4.0809,4.2086,-1.3807,1.0151,6.7221,3.7338,1.4085,-3.8272,0.5135,2.1392,-0.5939,12.8616,2.5077,3.9413,-4.1056,6.763,0.9195,2.126,-0.1487,-3.0032,15.8393,2.3636,-1.2948,2.0332,8.5922,-1.3812,-0.8603,-6.3976,-2.7382,-1.4853,3.9829,1.7312,3.361,-3.1076,1.5293,-3.5774,0.4773,2.2673,6.4611,-2.3998,-1.5241,-2.8683,-4.0365,-3.8743,-2.3491,-4.9292,7.5416,0.5767,-7.156,-5.6324,1.2042,-1.8107,-6.138,-2.8066,3.4941,16.3504,5.4197,1.3876,-0.7853,-6.1058,0.4335,4.1487,-1.5427,-10.4537,1.9065,2.6653,-6.4653,-9.9013,-8.5012,9.9709,-2.0606,3.0959,5.8892,-13.4637,2.5135,3.2278,4.6603,1.1491,2.9537,-8
SGYP    US Equity,-1.4245,1.1561,-0.5714,1.4368,3.3994,17.8082,-1.6279,5.2009,0.2247,-4.9327,-8.2547,3.0848,0.9975,-3.7037,0.5128,7.9082,36.4066,-22.0104,0.6667,-4.6358,5.0926,0,0,4.4053,3.5865,-3.2587,-2.3158,-1.9397,-4.6154,0.9217,-9.1324,-2.7638,23.7726,-3.1315,6.681,-1.6162,-1.6427,-1.8789,1.7021,0,-3.3473,-9.3074,-3.1026,-6.1576,-15.4856,34.1615,-1.8519,30.4245,-9.3128,1.0967,-1.7751,-0.6024,21.0101,7.1786,-2.1807,-8.5987,2.9617,1.3536,-3.172,-1.0345,-4.1812,8.7273,0,-1.505,3.056,3.1301,-13.738,-8.1481,1.6129,-0.7937,-8.4,15.7205,-2.6415,-1.1628,-5.2941,-4.5549,4.7722,-10.559,-6.25,8.642,-1.3636,3.9171,1.9956,-2.1739,-3.5556,3.2258,-0.8929,4.0541,1.7316,4.2553,-5.3061,-4.5259,0.4515,0,-5.3933,-6.6508,2.0356,11.7207,-2.4554,4.8055,-3.9301,-3.8636,2.1277,23.1481,6.015,-0.5319,1.2478,-7.3944,0.9506,-2.8249,1.3566,11.2811,4.2955,0.3295,-1.8062,1.6722,-21.3816,-1.2552,-9.9576,2.1176,9.9078,-9.8532,-12.093,-1.8519,5.1213,11.2821,-2.5346,-2.8369,-1.4599,-0.4938,3.7221,-5.5024,-2.5316,-2.0779,-4.244,-0.831,0,-1.3966,10.4816,-5.3846,-4.065,-14.1243,-2.6316,-2.3649,-11.0727,5.8366,3.3088,22.0641,-7.8717,-5.0633,-4,3.4722,0,-1.6779,11.6041,-7.3394,5.6106,-2.5,-5.7692,-2.381,1.3937,1.0309,1.5306,-3.8526,5.2265,2.9801,14.1479,16.9014,3.8554,3.2483,-6.0674,4.3062,-8.0275,-11.7207,1.6949,-2.2222,23.5795,-1.1494,13.9535,2.0408,81.4,-9.3716,12.8954,-1.6164,-1.3143,-12.2087,15.2971,-11.9518,-5.9776,-7.1523,5.4208,-7.4425,5.848,1.105,-19.194,3.1276,3.6066,-0.3165,-7.7778,10.327,-2.4961,-5.28,-1.5203,9.6055,-4.3818,-2.946,1.1804,-5.3333,-0.1761,-26.9841,-2.657,-1.9851,-5.0633,-4.5333,0.5587,4.1667,-9.3333,2.0588,3.4582,-18.1058,-5.4422,-2.1583,16.9118,2.2013,15.0769,-16.0428
DEPO    US Equity,5.7915,11.3139,0.9836,-2.1104,11.1111,-3.1343,2.9276,0.7485,-8.4695,-1.2987,-1.3158,8,-3.3951,-0.3195,0,3.8462,-3.5494,-8.48,-1.5734,-9.0586,7.2266,-8.9253,4.8,-1.7176,10.8738,-0.3503,-1.7575,-1.61,1.6364,1.0733,-8.1416,-0.578,4.2636,-4.6468,3.1189,5.6711,2.3256,2.4476,0.8532,5.2453,-2.7331,2.6446,-6.9243,-2.2491,1.0619,-5.2539,9.0573,2.0339,-3.8206,1.0363,0,2.735,6.1564,2.1944,-4.1411,-0.64,13.0435,-4.416,1.9374,-3.0702,-1.5083,-9.5712,-3.8103,1.4085,1.9097,-7.4957,-0.3683,1.8484,-0.363,-1.4572,-5.1756,6.8226,7.4818,-2.2071,-0.1736,0.1739,2.0833,-4.4218,3.0249,6.0449,-0.6515,1.1475,5.6726,4.2945,-2.2059,8.2707,-0.4167,2.6499,2.9891,-1.1873,0.8011,0,-1.457,-1.4785,2.1828,-3.0708,2.6171,6.3087,7.9545,3.1579,-3.0612,-4.0936,22.561,3.8806,4.1188,5.9798,5.816,-4.1838,2.7397,1.6667,0.8197,4.1463,-5.9329,13.6929,6.9343,0.273,-3.4717,-6.8406,-1.8925,-0.6944,4.662,3.4892,-24.175,3.4059,5.398,3.559,4.6102,6.8109,-0.6002,-0.1509,7.2562,-8.6681,-11.9599,2.8922,-8.0068,11.1111,6.0833,16.2608,3.7162,-9.1205,4.4444,1.0295,3.3288,0.9204,-7.9479,2.5478,4.2098,1.9868,-7.3377,5.1156,3.0667,0.194,3.5507,-5.5486,7.1947,-3.4175,2.3271,7.7882,16.763,-7.3267,-2.4038,-2.682,3.3746,8.9227,9.6404,6.7882,7.5085,-4.2857,-6.0116,-0.8822,10.0134,5.0566,6.4497,-13.6914,-0.2934,-13.6612,1.0711,0.4817,4.9377,-5.2535,7.377,-4.1311,-2.3888,44.6257,7.8633,0.2768,-3.3742,4.0952,-3.9341,-8.7302,-1.287,-6.0606,2.5131,5.3787,-20.9722,-12.9174,-4.1372,7.8421,-17.3255,3.3058,13.5429,-5.9386,-1.1236,3.5173,-5.0183,1.7061,2.8139,-0.8421,-3.7686,-14.8373,-3.6269,11.9624,-7.9232,5.2151,-0.4337,8.6497,-6.3574,-5.5657,5.0518,-18.0025,0.0752,8.0391,17.872,-5.2507,9.2154,-0.9122
DBVT    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4444,-6.0174,1.8113,5.2131,0.5505,1.6425,3.9631,0.5922,-0.2575,4.0207,-3.8298,-1.1431,-5.1473,-4.4829,-10.0041,1.3266,5.3725,-7.1551,-3.8302,-1.0557,15.5189,-2.9387,6.7907,7.6549,-5.8691,5.0759,-3.9178,-0.1979,1.2297,-3.3699,-4.5418,0.8921,14.8211,-2.7869,10.8261,3.8462,15.8964,18.6086,1.4306,2.4683,-9.1076,1.3125,-3.9611,7.0298,-11.7547,2.1972,11.341,-5.0205,-6.5057,-5.3547,-3.676,-0.0298,3.3999,6.086,-5.329,-0.2872,0.4032,1.1188,-7.0922,5.1908,0.9869,4.3691,-8.8956,-18.3797,-2.6296,-1.1411,-6.6564,-3.8747,9.8199,0.3514,1.751,17.9732,-0.3566,-0.2928,9.9184,3.7103,1.1734,-0.7072,-3.2194
AMRN    US Equity,-9.8798,6.2222,15.2022,-3.9952,10.8449,-4.4369,2.0238,4.9008,-11.9021,-7.197,43.1293,11.5019,-3.4953,-9.7173,-5.1859,7.3271,15.4808,-0.0833,-4.3333,-12.2822,14.6971,-6.6234,8.1131,1.5437,9.5439,11.488,4.5643,-3.7037,4.1209,-10.8839,-11.695,8.4661,-8.1917,9.3434,5.3888,7.962,-4.1949,-5.5791,-5.9461,-0.4374,-13.099,3.4926,7.016,-5.8091,-1.2335,-3.3006,3.4133,10.7047,-21.9178,-8.8184,-9.9089,-3.2663,9.2208,2.497,-1.7401,-0.9445,0.7151,1.5385,1.7483,-5.6128,-8.3738,12.3179,-0.2358,-9.8109,-2.8834,-2.969,6.2587,-11.1257,0.7364,-0.8772,6.9322,-1.5172,-5.042,3.0973,1.1445,-4.3847,-7.0266,-7.7168,2.7586,-11.6611,5.2232,-4.1516,2.4482,-0.9191,11.3173,1,3.9604,14.127,-8.2058,-2.803,2.1044,9.6183,-29.1086,-60.1179,7.3892,-24.7248,-4.3266,-1.2739,13.5484,3.4091,-2.7473,-2.2599,15.3179,-8.7719,9.3407,12.0603,1.7937,-24.6696,7.0175,-4.3716,0,6.2857,-6.4516,6.3218,-2.7027,-2.7778,6.2857,-4.8387,-4.5198,-6.5089,0.3165,7.8864,-11.6959,-9.6026,-1.0989,4.4444,3.5461,5.4795,3.8961,5.625,0.5917,-6.4706,-5.0314,-0.6623,10,0.6061,9.6386,0.5495,5.4645,0.5181,-23.1959,-12.7517,-14.6154,-4.5045,-5.6781,5.0197,-10.4762,0.1263,-4.3761,5.5347,37.922,-1.5267,-13.9535,-2.7027,4.6296,-11.5044,13,-4.4248,-5.5556,0.9804,-0.9709,3.9216,11.3208,12.7119,13.5338,17.8808,62.9213,-13.1034,-4.3651,-2.0747,9.7458,-10.0386,0,-18.8841,-2.1164,4.3243,-0.5181,20.3125,6.0606,0.8163,-4.4534,2.1186,4.5643,-4.3651,-0.4149,-10,4.6296,3.0973,0.4292,-13.2479,9.8522,5.3812,4.6809,0,-10.5691,-6.3636,0.9709,-4.3269,-5.5276,1.0638,7.3684,-0.9804,-2.9703,7.6531,-5.2133,-6.5,1.6043,1.0526,-1.5625,-13.7566,-8.2822,8.3612,-16.0494,1.4706,-7.971,7.0866,6.6176,5.5172,5.8824,-11.1111,0.6944,8.9655,8.2278,1.1696,8.6705,-2.6596
ESPR    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4043,16.941,-0.8798,1.0059,6.9127,-8.5479,3.2954,-2.5522,-4.0476,-4.4665,7.7273,0.7233,11.909,-0.4813,-10.317,3.0557,-11.9767,-1.5852,-0.3356,-7.4074,-14.6182,1.6184,11.6513,-3.0781,0.0775,1.161,8.1867,9.3352,3.4929,-1.375,-3.2953,-1.114,5.5666,-5.5242,3.3223,11.8971,-5.977,-10.4523,2.0478,-6.0201,-1.3523,-0.7215,2.6163,-8.711,6.1288,6.652,-0.1371,4.7358,-2.2936,-0.4024,3.2323,0.7828,2.3948,-3.0973,-4.6967,-4.7228,13.0029,-2.4793,5.3455,-4.6411,1.1681,-3.143,2.3179,5.7605,40.8813,23.2841,-8.0691,-17.478,14.6307,18.517,-13.9487,18.4346,-0.5703,6.7139,18.6848,-0.1598,2.1878,-3.7859,11.886,8.9983,0.7788,2.2522,-0.8853,29.39,13.0325,-1.7131,-5.3501,4.5316,13.9553,51.0015,-19.3003,10.0827,1.0723,0.3569,3.3393,-4.0153,3.1275,2.8878,1.3236,-0.3984,-4.3438,-27.8102,10.035,1.3955,0.3984,8.2371,9.8878,-23.2535,-18.3243,-5.2581,12.666,-17.6942,-3.5983,-15.14,5.5655,-0.5102,-15.8974,-31.9106,-6.8657,-7.4119,-3.1588,7.2386,15.7083,-4.1772,-1.428,8.9973,-2.7282,-9.9964,-9.7883,3.4987,-4.7497,-18.9578,-23.6696,36.4561,-20.8089,4.4355,-3.9897,11.126,-6.2726,11.4543,-10.6813,0.1939,1.4194,11.3232,6.6286,0,3.4298,-15.0777
EDIT    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.5,20,48.7554,29.3561,-12.1204,-6.048,6.6417,17.8537,9.6206,-1.4339,-4.4394,-13.2546
INSY    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6495,0.9234,-2.6532,3.7594,-1.1775,1.9248,0.8094,23.4612,6.5751,15.5932,0.5279,10.8518,-7.3684,-0.9659,38.5198,28.0649,-9.4114,20.7426,2.7499,5.9281,-10.0244,33.3031,-8.9468,-0.8458,-1.2293,5.9995,0.5224,-0.5721,-4.3155,10.4986,7.1202,-19.4327,2.7588,1.841,-2.586,11.4691,24.4162,2.2115,6.9636,-9.9099,2.4717,15.5772,7.185,12.9608,-6.6184,-1.8881,-12.1212,-42.5396,-0.7395,10.7163,1.5269,2.855,-19.0112,-27.0174,7.5891,0.7015,0.7353,-0.6915,12.8046,7.5103,-0.638,-18.7801,2.253,12.7174,-11.1111,9.0278,22.9653,2.3022,-0.647,-3.0578,-5.3154,3.979,13.2008,10.7966,-11.6367,0.5353,3.8072,4.3216,-11.0264,6.5764,0.4667,-0.0516,-0.2582,6.1351,10.5854,-6.8372,-0.1184,8.0588,2.4786,6.4212,-3.9019,7.5764,0.1946,1.7864,14.5746,-3.9461,4.5415,-0.4808,-6.2646,-2.2752,5.4383,4.8473,2.6983,-14.4665,4.1019,6.1533,0.5254,0.489,7.8691,-46.1347,15.5357,-11.5971,0.3675,5.7183,10.5516,4.4589,3.6456,-12.6224,-10.9299,-7.0366,4.0923,1.1824,5.7552,2.0442,-21.2777,-1.5131,-10.4399,2.3392,-13.7143,13.7307,6.3276,5.9511,0.2412,6.944,-13.8541,7.1269,-1.4629,0.5656,0.6327,-9.5704,-10.6219,-2.1175,-23.3996,-5.8213,3.978,0.9417,4.898,-0.1668,-5.5679,6.0731,-4.7804,-1.3427,4.497,-18.9128,12.5698,-10.1117
